Nome,Frequências,Tempos
Dengue,"464,440,3672,7766,7760,7344,1234,5000,727,787,800,875,880,885,728,1550,1500,2008,20,728,440,465,613,666,727,787,800,1000,5000,10000","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Fasciolopsis Buski,"1695,","600,"
Neisseria Gonorrhoeae,"1305.6,",
Eurytrema Pancreatico,"1644,","600,"
Eurytrema Pancreaticum,"1644,","600,"
Rhizopus spp.,"552.0,1522.0,132.0,327.0,775.0,659.0,660.0","180,180,180,180,180,180,180"
Tricomoníase,"610.0,692.0,980.0","180,180,180"
Candida Albicans,"414.18,",
Rotavírus,"665,666,667,776,787,802,1550,832,840,880,1570,1998,2008,2052,2127.5,2489,2490,5000","300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300"
Coronavirus,"665,666,667,776,787,802,1550,832,840,880,1570,1998,2008,2052,2127.5,2489,2490,5000","300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300"
Trypanosoma Cruzi,"1808,","600,"
Trichinella Spiralis,"1580,","600,"
Fusarium spp.,"102.0,332.0,705.0,795.0,780.0,768.0,625.0,746.0","180,180,180,180,180,180,180,180"
Brucella Abortus,"748.0,643.0,695.0,1423.0","180,180,180,180"
Streptococcus Pyogenes (Gas),"1437,","600,"
Trichophyton Rubrum,"752,923","180,180"
Enterococcus Faecalis,"686,409,454,5000","600,180,180,180"
Histoplasma Capsulatum,"1180,","600,"
Leishmania Braziliensis,"1574,","600,"
Aspergillus niger,"374697.0,","180,"
Toxoplasma gondii,"19665.89,979.11","180,180"
Leishmania Amazonensis,"1574,","600,"
Paragonimus westermani,"22503.75,1120.4,22254.82,1108.0","180,180,180,180"
Clostridium Botulinum,"1414,","600,"
Clostridium botulinum,"1414,","600,"
Plasmodium Falciparum,"1457,","600,"
Fasciola Hepatica,"1660,","600,"
Candida Dubliniensis,"414.18,",
Clonorchis Sinensis,"1668,","600,"
Treponema pallidum,"660.0,902.0,17276.11,860.13","180,180,180,180"
Penicillium spp.,"552.0,1522.0,129.0,249.0,344.0,967.0,345.0,688.0,868.0,1070.0,2411.0,728.0,764.0,765.0,334.0,629.0,321.0,550.0,555.0,556.0,558.0,560.0,562.0,566.0,572.0,644.0,825.0,922.0,942.0,4870.0,7780.0,412.0,715.0,332.0,457.0,460.0,462.0,766.0,1015.0,1018.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Entamoeba Histolytica,"1504,","600,"
Cryptosporidium parvum,"220.0,482.0,575.0,4122.0,698.0,711.0,893.0,895.0,1276.0,5690.0","180,180,180,180,180,180,180,180,180,180"
Mucor spp.,"612.0,1000.0,488.0,766.0,9788.0,735.0,361.0,578.0,785.0,877.0,310.0,474.0,875.0,473.0,686.0,871.0,873.0,876.0,878.0,887.0,7768.0,7976.0,8788.0,713.0,729.0,731.0,751.0,760.0,778.0,1200.0,942.0,623.0,733.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Zika Vírus,"727,5000,213,516","600,600,600,600"
Schistosoma Haematobium,"1379,","600,"
Aspergillus fumigatus,"1823.0,247.0,1972.0,524758.0,374697.0,743339.0,1972.0,1823.0,758.0,743.0,697.0,524.0,374.0,339.0,247.0,552.0,1522.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Schistosoma Mansoni,"329,9889","180,180"
Norovírus,"665,666,667,776,787,802,1550,832,840,880,1570,1998,2008,2052,2127.5,2489,2490,5000","300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300"
Leishmania Guyanensis,"1574,","600,"
Herpes Simplex Vírus 1,"1141,1350","600,600"
Ascaris Larvae,"152,442,8146,751,1146,797","180,180,180,180,180,180"
Bactéria Lactis Aerogenes,"488.0,565.0,672.0,674.0,678.0,773.0,766.0,768.0,776.0,777.0,778.0,822.0,885.0,887.0,7877.0,9687.0,42664.0,42666.0,46668.0,46787.0,23.0,222.0,262.0,2154.0,465.0,488.0,567.0,7880.0,10000.0,787.0,747.0,727.0,20.0,660.0,690.0,160.0,73.0,1.1,10000.0,2720.0,2170.0,1800.0,1600.0,1500.0,880.0,787.0,776.0,727.0,20.0,250.0,1.2,650.0,625.0,600.0,787.0,727.0,262.0,776.0,766.0,548.0,244.0,1466.0,597.0,1311.0,512.0,526.0,798.0,951.0,5412.0,20786.1,17923.34,1034.88,892.35,430.0,620.0,624.0,840.0,1111.4,2213.0,866.0,555.7,2222.8,1035.0,968.0,961.0,851.0,844.0,843.0,691.0,591.0,556.0,330.0,10000.0,1000.0,925.0,800.0,788.0,776.0,624.0,590.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Candida Saccharomyces,"3176.0,2644.0,1403.0,1151.0,943.0,886.0,877.0,866.0,762.0,742.0,661.0,465.0,464.0,450.0,414.0,412.0,386.0,381.0,254.2,120.0,95.0,64.0,20.0,880.0,95.0,125.0,20.0,60.0,225.0,427.0,240.0,650.0,688.0,152.0,442.0,8146.0,751.0,1146.0,1403.0,675.0,709.0,10000.0,5000.0,3176.0,2489.0,1395.0,1276.0,1160.0,1044.0,928.0,877.0,812.0,728.0,696.0,580.0,465.0,464.0,381.0,348.0,232.0,116.0,58.0,20.0,1403.0,675.0,709.0,2167.0,2128.0,2182.0,465.0,20.0,60.0,95.0,125.0,225.0,427.0,464.0,727.0,19217.0,81.0,956.0,80.0,2167.0,2128.0,2182.0,465.0,72.0,422.0,582.0,727.0,787.0,802.0,1016.0,1134.0,1153.0,1550.0,2222.0,412.0,543.0,2128.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Epidermophyton Floccosum,"20,787,5000,766,802,9999","727,880,644,464,1552,3176"
Fasciolopsis Buski Eggs,"1695,","600,"
Helicobacter Pylori,"676,704.9,694.7,#,2167,728,880,2950,#,694.7,2778.8,704.9,2819.4","180,180,180,1,180,180,180,180,exp,180,180,180,180"
Lactobacillus Acidophilus,"17375.0,69.0,865.0,8.0","180,180,180,180"
Mycobacterium Phlei,"20412.7,1016.29,21508.01,1070.82","180,180,180,180"
Microsporum Canis,"1644.18,",
